productReference;Brand;IDTECDOC;EAN;Name;Description;Stock;price;Currency;priceeurop;Currency.1
1000-030-396T;jrone;6662;1000000132448.0;PIECESOE;PIECESOE;0.0;119,91;EUR;119,91;EUR
74100;AS;274;2000020000196.0;PIECESOE;PIECESOE;1.0;120;EUR;120;EUR
28544D;AS;274;2000020000197.0;CAT AS;CAT AS;1.0;120,05;EUR;120,05;EUR
1000-060-128;jrone;6662;1000000132449.0;PIECESOE;PIECESOE;0.0;120,29;EUR;120,29;EUR
45208D;AS;274;2000020000198.0;CAT AS;CAT AS;1.0;120,32;EUR;120,32;EUR
1000-010-284;jrone;6662;1000000132450.0;PIECESOE;PIECESOE;0.0;120,39;EUR;120,39;EUR
1000-020-123;jrone;6662;1000000132451.0;PIECESOE;PIECESOE;0.0;120,46;EUR;120,46;EUR
37924;AS;274;2000020000199.0;CATALYSEUR;Catalyseur;1.0;120,91;EUR;120,91;EUR
2063-050-004;jrone;6662;1000000132452.0;PIECESOE;PIECESOE;0.0;120,92;EUR;120,92;EUR
37896D;AS;274;2000020000200.0;CAT AS;CAT AS;1.0;121,01;EUR;121,01;EUR
2063-050-724;jrone;6662;1000000132453.0;PIECESOE;PIECESOE;0.0;121,25;EUR;121,25;EUR
37898D;AS;274;2000020000201.0;CAT AS;CAT AS;1.0;121,4;EUR;121,4;EUR
21209;AS;274;2000020000202.0;CATALYSEUR;Catalyseur;1.0;121,44;EUR;121,44;EUR
1000-010-359C;jrone;6662;1000000132454.0;PIECESOE;PIECESOE;0.0;121,68;EUR;121,68;EUR
1000-010-678B;jrone;6662;1000000132455.0;PIECESOE;PIECESOE;0.0;121,68;EUR;121,68;EUR
1000-030-190;jrone;6662;1000000132456.0;PIECESOE;PIECESOE;0.0;121,68;EUR;121,68;EUR
1000-030-258T;jrone;6662;1000000132457.0;PIECESOE;PIECESOE;0.0;121,68;EUR;121,68;EUR
